Chapter,Section,Page
1,"Introduction: The Nature of Science and Physics",5
1.1,"Physics: An Introduction",6
1.2,"Physical Quantities and Units",15
1.3,"Accuracy, Precision, and Significant Figures",23
1.4,"Approximation",29
1.5,"Glossary",32
1.6,"Section Summary",32
1.7,"Conceptual Questions",33
1.8,"Problems & Exercises",33
2,"Kinematics",37
2.1,"Displacement",38
2.2,"Vectors, Scalars, and Coordinate Systems",40
2.3,"Time, Velocity, and Speed",42
2.4,"Acceleration",47
2.5,"Motion Equations for Constant Acceleration in One Dimension",58
2.6,"Problem-Solving Basics for One-Dimensional Kinematics",69
2.7,"Falling Objects",71
2.8,"Graphical Analysis of One-Dimensional Motion",80
2.9,"Glossary",88
2.10,"Section Summary",88
2.11,"Conceptual Questions",90
2.12,"Problems & Exercises",92
3,"Two-Dimensional Kinematics",99
3.1,"Kinematics in Two Dimensions: An Introduction",100
3.2,"Vector Addition and Subtraction: Graphical Methods",102
3.3,"Vector Addition and Subtraction: Analytical Methods",111
3.4,"Projectile Motion",117
3.5,"Addition of Velocities",126
3.6,"Glossary",135
3.7,"Section Summary",135
3.8,"Conceptual Questions",137
3.9,"Problems & Exercises",138
4,"Dynamics: Force and Newton's Laws of Motion",147
4.1,"Development of Force Concept",149
4.2,"Newton’s First Law of Motion: Inertia",150
4.3,"Newton’s Second Law of Motion: Concept of a System",151
4.4,"Newton’s Third Law of Motion: Symmetry in Forces",157
4.5,"Normal, Tension, and Other Examples of Forces",161
4.6,"Problem-Solving Strategies",170
4.7,"Further Applications of Newton’s Laws of Motion",172
4.8,"Extended Topic: The Four Basic Forces—An Introduction",179
4.9,"Glossary",185
4.10,"Section Summary",185
4.11,"Conceptual Questions",187
4.12,"Problems & Exercises",189
5,"Further Applications of Newton's Laws: Friction, Drag, and Elasticity",197
5.1,"Friction",198
5.2,"Drag Forces",204
5.3,"Elasticity: Stress and Strain",209
5.4,"Glossary",220
5.5,"Section Summary",220
5.6,"Conceptual Questions",221
5.7,"Problems & Exercises",221
6,"Uniform Circular Motion and Gravitation",227
6.1,"Rotation Angle and Angular Velocity",228
6.2,"Centripetal Acceleration",232
6.3,"Centripetal Force",235
6.4,"Fictitious Forces and Non-inertial Frames: The Coriolis Force",240
6.5,"Newton’s Universal Law of Gravitation",244
6.6,"Satellites and Kepler’s Laws: An Argument for Simplicity",252
6.7,"Glossary",258
6.8,"Section Summary",258
6.9,"Conceptual Questions",259
6.10,"Problems & Exercises",262
7,"Work, Energy, and Energy Resources",269
7.1,"Work: The Scientific Definition",270
7.2,"Kinetic Energy and the Work-Energy Theorem",273
7.3,"Gravitational Potential Energy",278
7.4,"Conservative Forces and Potential Energy",284
7.5,"Nonconservative Forces",288
7.6,"Conservation of Energy",293
7.7,"Power",297
7.8,"Work, Energy, and Power in Humans",302
7.9,"World Energy Use",306
7.10,"Glossary",310
7.11,"Section Summary",310
7.12,"Conceptual Questions",312
7.13,"Problems & Exercises",313
8,"Linear Momentum and Collisions",323
8.1,"Linear Momentum and Force",324
8.2,"Impulse",326
8.3,"Conservation of Momentum",329
8.4,"Elastic Collisions in One Dimension",333
8.5,"Inelastic Collisions in One Dimension",336
