Chapter,Section,Page
1,"Introduction to Computer Architecture",13
1.1,"What is a Computer?",14
1.2,"Structure of a Typical Desktop Computer",16
1.3,"Computers are Dumb Machines",17
1.4,"The Language of Instructions",18
1.5,"Instruction Set Design",20
1.5.1,"Complete - The ISA should be able to Implement all User Programs",20
1.5.2,"Concise – Limited Size of the Instruction Set",20
1.5.3,"Generic – Instructions should Capture the Common Case",20
1.5.4,"Simple – Instructions should be Simple",21
1.6,"How to Ensure that an ISA is Complete?",22
1.6.1,"Towards a Universal ISA\*",22
1.6.2,"Turing Machine\*",23
1.6.3,"Universal Turing Machine\*",27
1.6.4,"A Modified Universal Turing Machine\*",28
1.6.5,"Single Instruction ISA\*",30
1.6.6,"Multiple Instruction ISA\*",31
1.6.7,"Summary of Theoretical Results",32
1.7,"Design of Practical Machines",34
1.7.1,"Harvard Architecture",34
1.7.2,"Von Neumann Architecture",34
1.7.3,"Towards a Modern Machine with Registers and Stacks",36
1.8,"The Road Ahead",38
1.8.1,"Representing Information",39
1.8.2,"Processing Information",40
1.8.3,"Processing More Information",41
1.9,"Summary and Further Reading",41
1.9.1,"Summary",41
1.9.2,"Further Reading",42
I,"Architecture: Software Interface",45
2,"The Language of Bits",47
2.1,"Logical Operations",48
2.1.1,"Basic Operators",49
2.1.2,"Derived Operators",50
2.1.3,"Boolean Algebra",50
2.1.4,"De Morgan’s Laws",52
2.1.5,"Logic Gates",52
2.1.6,"Implementing Boolean Functions",53
2.1.7,"The Road Ahead",56
2.2,"Positive Integers",57
2.2.1,"Ancient Number Systems",57
2.2.2,"Binary Number System",59
2.2.3,"Adding Binary Numbers",61
2.2.4,"Sizes of Integers",63
2.3,"Negative Integers",65
2.3.1,"Sign-Magnitude-Based Representation",65
2.3.2,"The 1’s Complement Approach",65
2.3.3,"Bias-Based Approach",66
2.3.4,"The 2’s Complement Method",67
2.4,"Floating Point Numbers",74
2.4.1,"Fixed Point Numbers",74
2.4.2,"Generic Form of Floating Point Numbers",74
2.4.3,"IEEE 754 Format for Representing Floating Point Numbers",77
2.4.4,"Denormal Numbers",79
2.4.5,"Double Precision Numbers",80
2.4.6,"Floating Point Mathematics",81
2.5,"Strings",82
2.5.1,"ASCII Format",82
2.5.2,"UTF-8",82
2.5.3,"UTF-16 and UTF-32",83
2.6,"Summary and Further Reading",84
2.6.1,"Summary",84
2.6.2,"Further Reading",85
3,"Assembly Language",91
3.1,"Why Assembly Language",91
3.1.1,"Software Developer’s Perspective",91
3.1.2,"Hardware Designer’s Perspective",95
3.2,"The Basics of Assembly Language",96
3.2.1,"Machine Model",96
3.2.2,"View of Memory",97
3.2.3,"Assembly Language Syntax",99
3.2.4,"Types of Instructions",103
3.2.5,"Types of Operands",104
3.3,"SimpleRisc",107
3.3.1,"Different Instruction Sets",107
3.3.2,"Model of the SimpleRisc Machine",108
3.3.3,"Register Transfer Instruction – mov",108
3.3.4,"Arithmetic Instructions",108
3.3.5,"Logical Instructions",110
3.3.6,"Shift Instructions – lsl, lsr, asr",110
3.3.7,"Data Transfer Instructions: ld and st",111
3.3.8,"Unconditional Branch Instructions",111
3.3.9,"Conditional Branch Instructions",112
3.3.10,"Functions",114
3.3.11,"Function Call/Return Instructions",121
3.3.12,"The nop Instruction",123
3.3.13,"Modifiers",124
3.3.14,"Encoding the SimpleRisc Instruction Set",125
3.4,"Summary and Further Reading",133
3.4.1,"Summary",133
3.4.2,"Further Reading",135
