chapter,section,page,json_idx
1,Introduction to Computer Architecture,13,63
1.1,What is a Computer?,14,71
1.2,Structure of a Typical Desktop Computer,16,87
1.3,Computers are Dumb Machines,17,94
1.4,The Language of Instructions,18,103
1.5,Instruction Set Design,20,111
1.5.1,Complete - The ISA should be able to Implement all User Programs,20,113
1.5.2,Concise – Limited Size of the Instruction Set,20,116
1.5.3,Generic – Instructions should Capture the Common Case,20,118
1.5.4,Simple – Instructions should be Simple,21,122
1.6,How to Ensure that an ISA is Complete?,22,131
1.6.1,Towards a Universal ISA\*,22,136
1.6.2,Turing Machine\*,23,143
1.6.3,Universal Turing Machine\*,27,168
1.6.4,A Modified Universal Turing Machine\*,28,183
1.6.5,Single Instruction ISA\*,30,197
1.6.6,Multiple Instruction ISA\*,31,206
1.6.7,Summary of Theoretical Results,32,215
1.7,Design of Practical Machines,34,227
1.7.1,Harvard Architecture,34,229
1.7.2,Von Neumann Architecture,34,233
1.7.3,Towards a Modern Machine with Registers and Stacks,36,244
1.8,The Road Ahead,38,264
1.8.1,Representing Information,39,269
1.8.2,Processing Information,40,277
1.8.3,Processing More Information,41,281
1.9,Summary and Further Reading,41,286
1.9.1,Summary,41,287
1.9.2,Further Reading,42,291
I,Architecture: Software Interface,45,313
2,The Language of Bits,47,314
2.1,Logical Operations,48,324
2.1.1,Basic Operators,49,331
2.1.2,Derived Operators,50,341
2.1.3,Boolean Algebra,50,347
2.1.4,De Morgan’s Laws,52,363
2.1.5,Logic Gates,52,376
2.1.6,Implementing Boolean Functions,53,382
2.1.7,The Road Ahead,56,408
2.2,Positive Integers,57,413
2.2.1,Ancient Number Systems,57,414
2.2.2,Binary Number System,59,427
2.2.3,Adding Binary Numbers,61,449
2.2.4,Sizes of Integers,63,461
2.3,Negative Integers,65,474
2.3.1,Sign-Magnitude-Based Representation,65,477
2.3.2,The 1’s Complement Approach,65,483
2.3.3,Bias-Based Approach,66,491
2.3.4,The 2’s Complement Method,67,499
2.4,Floating Point Numbers,74,566
2.4.1,Fixed Point Numbers,74,569
2.4.2,Generic Form of Floating Point Numbers,74,572
2.4.3,IEEE 754 Format for Representing Floating Point Numbers,77,599
2.4.4,Denormal Numbers,79,622
2.4.5,Double Precision Numbers,80,635
2.4.6,Floating Point Mathematics,81,641
2.5,Strings,82,649
2.5.1,ASCII Format,82,651
2.5.2,UTF-8,82,655
2.5.3,UTF-16 and UTF-32,83,660
2.6,Summary and Further Reading,84,662
2.6.1,Summary,84,663
2.6.2,Further Reading,85,685
3,Assembly Language,91,738
3.1,Why Assembly Language,91,740
3.1.1,Software Developer’s Perspective,91,741
3.1.2,Hardware Designer’s Perspective,95,769
3.2,The Basics of Assembly Language,96,773
3.2.1,Machine Model,96,774
3.2.2,View of Memory,97,784
3.2.3,Assembly Language Syntax,99,807
3.2.4,Types of Instructions,103,838
3.2.5,Types of Operands,104,854
3.3,SimpleRisc,107,892
3.3.1,Different Instruction Sets,107,895
3.3.2,Model of the SimpleRisc Machine,108,900
3.3.3,Register Transfer Instruction – mov,108,903
3.3.4,Arithmetic Instructions,108,906
3.3.5,Logical Instructions,110,917
3.3.6,"Shift Instructions – lsl, lsr, asr",110,924
3.3.7,Data Transfer Instructions: ld and st,111,928
3.3.8,Unconditional Branch Instructions,111,933
3.3.9,Conditional Branch Instructions,112,940
3.3.10,Functions,114,954
3.3.11,Function Call/Return Instructions,121,1012
3.3.12,The nop Instruction,123,1033
3.3.13,Modifiers,124,1038
3.3.14,Encoding the SimpleRisc Instruction Set,125,1050
3.4,Summary and Further Reading,133,1111
3.4.1,Summary,133,1112
3.4.2,Further Reading,135,1128
4,ARM R⃝ Assembly Language,139,1158
4.1,The ARM $\textsuperscript { \textregistered }$ Machine Model,139,1158
4.2,Basic Assembly Instructions,140,1166
4.2.1,Simple Data Processing Instructions,140,1167
4.2.2,Advanced Data-Processing Instructions,143,1203
4.2.3,Compare Instructions,146,1231
4.2.4,Instructions that Set CPSR Flags – The ‘S’ Suffix,147,1242
4.2.5,Data Processing Instructions that use CPSR Flags,147,1244
4.2.6,Simple Branch Instructions,148,1259
4.2.7,Branch and Link Instruction,150,1275
4.2.8,Conditional Instructions,152,1289
4.2.9,Load-Store Instructions,155,1306
4.3,Advanced Features,157,1329
4.3.1,Arrays,158,1332
4.3.2,Functions,160,1359
4.4,Encoding the Instruction Set,163,1387
4.4.1,Data Processing Instructions,163,1394
4.4.2,Load-Store Instructions,167,1423
4.4.3,Branch Instructions,168,1432
4.5,Summary and Further Reading,169,1436
4.5.1,Summary,169,1437
4.5.2,Further Reading,170,1454
5,x86 Assembly Language,175,1496
5.1,Overview of the x86 Family of Assembly Languages,175,1498
5.1.1,Brief History,175,1499
5.1.2,Main Features of the x86 ISA,176,1504
5.2,x86 Machine Model,177,1510
5.2.1,Integer Registers,177,1511
5.2.2,Floating Point Registers,179,1521
5.2.3,View of Memory,179,1525
5.2.4,Addressing Modes,182,1546
5.2.5,x86 Assembly Language,184,1563
5.3,Integer Instructions,185,1572
5.3.1,Data Transfer Instructions,185,1573
5.3.2,ALU Instructions,189,1616
5.3.3,Branch/ Function Call Instructions,195,1673
5.3.4,Advanced Memory Instructions,203,1726
5.4,Floating Point Instructions,207,1762
5.4.1,Data Transfer Instructions,208,1767
5.4.2,Arithmetic Instructions,210,1787
5.4.3,Instructions for Special Functions,211,1801
5.4.4,Compare Instruction,212,1808
5.4.5,Stack Cleanup Instructions,214,1819
5.5,Encoding the x86 ISA,214,1822
5.5.1,High Level View of x86 Instruction Encoding,215,1824
5.6,Summary and Further Reading,218,1854
5.6.1,Summary,218,1855
5.6.2,Further Reading,219,1860
6,RISC-V Assembly Language,225,1911
6.1,RISC-V Machine Model,226,1919
6.1.1,RISC-V Base ISAs and Extensions,226,1920
6.1.2,View of Registers,228,1938
6.2,Integer Instructions,229,1943
6.2.1,Moving Values to Registers,229,1945
6.2.2,Add and Subtract Instructions,231,1959
6.2.3,Multiplication and Division Instructions,232,1974
6.2.4,Logical and Shift Instructions,233,1992
6.3,Control Transfer and Memory Instructions,235,2008
6.3.1,Conditional Branches,235,2009
6.3.2,Unconditional Branches,239,2051
6.3.3,Load and Store Instructions,241,2065
6.4,Floating Point Instructions,245,2097
6.4.1,View of Registers,245,2099
6.4.2,Load and Store Instructions,247,2114
6.4.3,Floating Point Arithmetic Instructions,248,2123
6.4.4,Floating Point Conversion Instructions,249,2132
6.4.5,Floating Point Comparison Instructions,250,2141
6.5,Instruction Encoding,251,2147
6.5.1,Arithmetic and Data Transfer Instructions,251,2148
6.5.2,Control Flow Instructions,252,2160
6.5.3,Floating Point Instructions,254,2168
6.6,Summary and Further Reading,255,2178
6.6.1,Summary,255,2179
6.6.2,Further Reading,257,2185
II,Organization: Processor Design,261,2208
7,"Logic Gates, Registers, and Memories",263,2209
7.1,Silicon-Based Transistors,264,2218
7.1.1,Doping,265,2225
7.1.2,P-N Junction,266,2232
7.1.3,NMOS Transistor,267,2239
7.1.4,PMOS Transistor,268,2246
7.1.5,A Basic CMOS-Based Inverter,268,2249
7.1.6,NAND and NOR Gates,269,2254
7.2,Combinational Logic,271,2264
7.2.1,XOR Gate,271,2265
7.2.2,Decoder,272,2271
7.2.3,Multiplexer,272,2277
7.2.4,Demultiplexer,274,2288
7.2.5,Encoder,274,2291
7.2.6,Priority Encoder,276,2300
7.3,Sequential Logic,277,2310
7.3.1,SR Latch,277,2314
7.3.2,The Clock,279,2324
7.3.3,Clocked SR Latch,280,2336
7.3.4,Edge Sensitive SR Flip-flop,281,2346
7.3.5,JK Flip-flop,282,2353
7.3.6,D Flip-flop,283,2361
7.3.7,Master-slave D Flip-flop,283,2365
7.3.8,Metastability,284,2370
7.3.9,Registers,285,2375
7.4,Memories,286,2382
7.4.1,Static RAM (SRAM),286,2383
7.4.2,Content Addressable Memory (CAM),289,2401
7.4.3,Dynamic RAM (DRAM),291,2410
7.4.4,Read Only Memory (ROM),293,2423
7.4.5,Programmable Logic Arrays,295,2434
7.5,Summary and Further Reading,299,2459
7.5.1,Summary,299,2460
7.5.2,Further Reading,300,2463
8,Computer Arithmetic,305,2499
8.1,Addition,305,2502
8.1.1,Addition of Two 1-bit Numbers,305,2503
8.1.2,Addition of Three 1-bit Numbers,306,2515
8.1.3,Ripple Carry Adder,309,2526
8.1.4,Carry Select Adder,313,2550
8.1.5,Carry Lookahead Adder,314,2562
8.2,Multiplication,319,2609
8.2.1,Overview,319,2610
8.2.2,Iterative Multiplier,320,2620
8.2.3,Booth Multiplier,324,2642
8.2.4,An $O ( l o g ( n ) ^ { 2 } )$ Time Algorithm,330,2679
8.2.5,Wallace Tree Multiplier,331,2686
8.3,Division,333,2700
8.3.1,Overview,333,2701
8.3.2,Restoring Division,334,2714
8.3.3,Non-Restoring Division,338,2742
8.4,Floating Point Addition and Subtraction,341,2761
8.4.1,Simple Addition with Same Signs,342,2766
8.4.2,Rounding,344,2782
8.4.3,Implementing Rounding,345,2797
8.4.4,Addition of Numbers with Opposite Signs,346,2805
