Chapter,Section,Page
1,"The Study of Life",7
1.1,"The Science of Biology",7
1.2,"Themes and Concepts of Biology",16
1.3,"Key Terms",25
1.4,"Chapter Summary",26
1.5,"Visual Connection Questions",27
1.6,"Review Questions",27
1.7,"Critical Thinking Questions",28
2,"The Chemical Foundation of Life",29
2.1,"Atoms, Isotopes, Ions, and Molecules: The Building Blocks",30
2.2,"Water",42
2.3,"Carbon",49
2.4,"Key Terms",55
2.5,"Chapter Summary",56
2.6,"Visual Connection Questions",57
2.7,"Review Questions",57
2.8,"Critical Thinking Questions",58
3,"Biological Macromolecules",59
3.1,"Synthesis of Biological Macromolecules",59
3.2,"Carbohydrates",61
3.3,"Lipids",69
3.4,"Proteins",76
3.5,"Nucleic Acids",85
3.6,"Key Terms",90
3.7,"Chapter Summary",91
3.8,"Visual Connection Questions",92
3.9,"Review Questions",92
3.10,"Critical Thinking Questions",93
4,"Cell Structure",95
4.1,"Studying Cells",95
4.2,"Prokaryotic Cells",98
4.3,"Eukaryotic Cells",101
4.4,"The Endomembrane System and Proteins",108
4.5,"The Cytoskeleton",112
4.6,"Connections between Cells and Cellular Activities",117
4.7,"Key Terms",122
4.8,"Chapter Summary",123
4.9,"Visual Connection Questions",124
4.10,"Review Questions",124
4.11,"Critical Thinking Questions",126
5,"Structure and Function of Plasma Membranes",127
5.1,"Components and Structure",128
5.2,"Passive Transport",135
5.3,"Active Transport",143
5.4,"Bulk Transport",147
5.5,"Key Terms",151
5.6,"Chapter Summary",152
5.7,"Visual Connection Questions",152
5.8,"Review Questions",153
5.9,"Critical Thinking Questions",154
6,"Metabolism",155
6.1,"Energy and Metabolism",155
6.2,"Potential, Kinetic, Free, and Activation Energy",159
6.3,"The Laws of Thermodynamics",164
6.4,"ATP: Adenosine Triphosphate",166
6.5,"Enzymes",168
6.6,"Key Terms",174
6.7,"Chapter Summary",174
6.8,"Visual Connection Questions",175
6.9,"Review Questions",176
6.10,"Critical Thinking Questions",177
7,"Cellular Respiration",179
7.1,"Energy in Living Systems",180
7.2,"Glycolysis",184
7.3,"Oxidation of Pyruvate and the Citric Acid Cycle",186
7.4,"Oxidative Phosphorylation",189
7.5,"Metabolism without Oxygen",193
7.6,"Connections of Carbohydrate, Protein, and Lipid Metabolic Pathways",195
7.7,"Regulation of Cellular Respiration",197
7.8,"Key Terms",201
7.9,"Chapter Summary",201
7.10,"Visual Connection Questions",202
7.11,"Review Questions",203
7.12,"Critical Thinking Questions",204
8,"Photosynthesis",205
8.1,"Overview of Photosynthesis",206
8.2,"The Light-Dependent Reactions of Photosynthesis",210
8.3,"Using Light Energy to Make Organic Molecules",217
8.4,"Key Terms",222
8.5,"Chapter Summary",223
8.6,"Visual Connection Questions",223
8.7,"Review Questions",223
8.8,"Critical Thinking Questions",225
9,"Cell Communication",227
9.1,"Signaling Molecules and Cellular Receptors",228
9.2,"Propagation of the Signal",236
9.3,"Response to the Signal",240
9.4,"Signaling in Single-Celled Organisms",243
9.5,"Key Terms",248
9.6,"Chapter Summary",249
9.7,"Visual Connection Questions",250
9.8,"Review Questions",250
9.9,"Critical Thinking Questions",252
10,"Cell Reproduction",253
10.1,"Cell Division",253
10.2,"The Cell Cycle",256
10.3,"Control of the Cell Cycle",263
10.4,"Cancer and the Cell Cycle",269
10.5,"Prokaryotic Cell Division",271
10.6,"Key Terms",274
10.7,"Chapter Summary",275
10.8,"Visual Connection Questions",276
11,"Meiosis and Sexual Reproduction",279
11.1,"The Process of Meiosis",280
11.2,"Sexual Reproduction",288
11.3,"Key Terms",293
11.4,"Chapter Summary",293
11.5,"Visual Connection Questions",294
11.6,"Review Questions",294
11.7,"Critical Thinking Questions",295
12,"Mendel's Experiments and Heredity",297
12.1,"Mendel’s Experiments and the Laws of Probability",298
12.2,"Characteristics and Traits",304
12.3,"Laws of Inheritance",315
12.4,"Key Terms",324
12.5,"Chapter Summary",325
12.6,"Visual Connection Questions",326
12.7,"Review Questions",326
12.8,"Critical Thinking Questions",327
13,"Modern Understandings of Inheritance",329
13.1,"Chromosomal Theory and Genetic Linkage",330
13.2,"Chromosomal Basis of Inherited Disorders",334
13.3,"Key Terms",342
13.4,"Chapter Summary",342
13.5,"Visual Connection Questions",342
13.6,"Review Questions",343
13.7,"Critical Thinking Questions",344
14,"DNA Structure and Function",345
14.1,"Historical Basis of Modern Understanding",346
14.2,"DNA Structure and Sequencing",349
14.3,"Basics of DNA Replication",354
14.4,"DNA Replication in Prokaryotes",356
14.5,"DNA Replication in Eukaryotes",358
14.6,"DNA Repair",361
14.7,"Key Terms",365
14.8,"Chapter Summary",365
14.9,"Visual Connection Questions",366
14.10,"Review Questions",367
14.11,"Critical Thinking Questions",368
15,"Genes and Proteins",369
15.1,"The Genetic Code",369
15.2,"Prokaryotic Transcription",374
15.3,"Eukaryotic Transcription",377
15.4,"RNA Processing in Eukaryotes",380
15.5,"Ribosomes and Protein Synthesis",383
15.6,"Key Terms",389
15.7,"Chapter Summary",390
15.8,"Visual Connection Questions",391
15.9,"Review Questions",391
15.10,"Critical Thinking Questions",392
16,"Gene Expression",395
16.1,"Regulation of Gene Expression",396
16.2,"Prokaryotic Gene Regulation",398
16.3,"Eukaryotic Epigenetic Gene Regulation",401
16.4,"Eukaryotic Transcription Gene Regulation",404
16.5,"Eukaryotic Post-transcriptional Gene Regulation",405
16.6,"Eukaryotic Translational and Post-translational Gene Regulation",408
16.7,"Cancer and Gene Regulation",409
16.8,"Key Terms",412
16.9,"Chapter Summary",413
16.10,"Visual Connection Questions",414
16.11,"Review Questions",414
16.12,"Critical Thinking Questions",416
17,"Biotechnology and Genomics",417
17.1,"Biotechnology",417
17.2,"Mapping Genomes",428
17.3,"Whole-Genome Sequencing",431
17.4,"Applying Genomics",434
17.5,"Genomics and Proteomics",437
17.6,"Key Terms",439
17.7,"Chapter Summary",440
17.8,"Visual Connection Questions",441
17.9,"Review Questions",441
18,"Evolution and the Origin of Species",443
18.1,"Understanding Evolution",444
18.2,"Formation of New Species",452
18.3,"Reconnection and Speciation Rates",460
18.4,"Key Terms",463
18.5,"Chapter Summary",463
18.6,"Visual Connection Questions",464
18.7,"Review Questions",464
18.8,"Critical Thinking Questions",465
19,"The Evolution of Populations",467
19.1,"Population Evolution",467
19.2,"Population Genetics",471
19.3,"Adaptive Evolution",476
19.4,"Key Terms",482
19.5,"Chapter Summary",482
19.6,"Visual Connection Questions",483
19.7,"Review Questions",483
19.8,"Critical Thinking Questions",484
20,"Phylogenies and the History of Life",485
20.1,"Organizing Life on Earth",486
20.2,"Determining Evolutionary Relationships",490
20.3,"Perspectives on the Phylogenetic Tree",495
20.4,"Key Terms",502
20.5,"Chapter Summary",502
20.6,"Visual Connection Questions",503
20.7,"Review Questions",503
20.8,"Critical Thinking Questions",504
21,"Viruses",505
21.1,"Viral Evolution, Morphology, and Classification",505
21.2,"Virus Infections and Hosts",514
21.3,"Prevention and Treatment of Viral Infections",521
21.4,"Other Acellular Entities: Prions and Viroids",526
21.5,"Key Terms",530
21.6,"Chapter Summary",531
21.7,"Visual Connection Questions",531
21.8,"Review Questions",532
21.9,"Critical Thinking Questions",533
22,"Prokaryotes: Bacteria and Archaea",535
22.1,"Prokaryotic Diversity",536
22.2,"Structure of Prokaryotes: Bacteria and Archaea",542
22.3,"Prokaryotic Metabolism",551
22.4,"Bacterial Diseases in Humans",555
22.5,"Beneficial Prokaryotes",562
22.6,"Key Terms",567
22.7,"Chapter Summary",568
22.8,"Visual Connection Questions",569
22.9,"Review Questions",570
22.10,"Critical Thinking Questions",572
23,"Protists",573
