chapter,section,page,json_idx
1,Essential Ideas,9,136
1.1,Chemistry in Context,9,142
1.2,Phases and Classification of Matter,14,170
1.3,Physical and Chemical Properties,23,224
1.4,Measurements,27,245
1.5,"Measurement Uncertainty, Accuracy, and Precision",33,319
1.6,Mathematical Treatment of Measurement Results,41,419
2,"Atoms, Molecules, and Ions",61,653
2.1,Early Ideas in Atomic Theory,62,660
2.2,Evolution of Atomic Theory,66,709
2.3,Atomic Structure and Symbolism,71,742
2.4,Chemical Formulas,79,828
2.5,The Periodic Table,84,871
2.6,Ionic and Molecular Compounds,89,904
2.7,Chemical Nomenclature,96,981
3,Composition of Substances and Solutions,117,1189
3.1,Formula Mass and the Mole Concept,118,1194
3.2,Determining Empirical and Molecular Formulas,129,1334
3.3,Molarity,136,1448
3.4,Other Units for Solution Concentrations,144,1578
4,Stoichiometry of Chemical Reactions,159,1743
4.1,Writing and Balancing Chemical Equations,160,1749
4.2,Classifying Chemical Reactions,166,1851
4.3,Reaction Stoichiometry,180,2060
4.4,Reaction Yields,185,2137
4.5,Quantitative Chemical Analysis,190,2207
5,Thermochemistry,211,2409
5.1,Energy Basics,212,2416
5.2,Calorimetry,221,2508
5.3,Enthalpy,233,2652
6,Electronic Structure and Periodic Properties of Elements,257,2960
6.1,Electromagnetic Energy,258,2966
6.2,The Bohr Model,270,3067
6.3,Development of Quantum Theory,274,3124
6.4,Electronic Structure of Atoms (Electron Configurations),287,3243
6.5,Periodic Variations in Element Properties,295,3325
7,Chemical Bonding and Molecular Geometry,313,3476
7.1,Ionic Bonding,313,3482
7.2,Covalent Bonding,317,3528
7.3,Lewis Symbols and Structures,322,3582
7.4,Formal Charges and Resonance,332,3706
7.5,Strengths of Ionic and Covalent Bonds,336,3770
7.6,Molecular Structure and Polarity,343,3849
8,Advanced Theories of Covalent Bonding,375,4198
8.1,Valence Bond Theory,376,4205
8.2,Hybrid Atomic Orbitals,379,4239
8.3,Multiple Bonds,390,4319
8.4,Molecular Orbital Theory,393,4345
9,Gases,415,4552
9.1,Gas Pressure,416,4557
9.2,"Relating Pressure, Volume, Amount, and Temperature: The Ideal Gas Law",425,4649
9.3,"Stoichiometry of Gaseous Substances, Mixtures, and Reactions",437,4793
9.4,Effusion and Diffusion of Gases,449,4974
9.5,The Kinetic-Molecular Theory,454,5041
9.6,Non-Ideal Gas Behavior,458,5097
10,Liquids and Solids,475,5223
10.1,Intermolecular Forces,476,5228
