chapter,section,page,json_idx
1,Introduction: The Nature of Science and Physics,5,185
1.1,Physics: An Introduction,6,195
1.2,Physical Quantities and Units,15,257
1.3,"Accuracy, Precision, and Significant Figures",23,347
1.4,Approximation,29,421
2,Kinematics,37,503
2.1,Displacement,38,509
2.2,"Vectors, Scalars, and Coordinate Systems",40,541
2.3,"Time, Velocity, and Speed",42,556
2.4,Acceleration,47,605
2.5,Motion Equations for Constant Acceleration in One Dimension,58,745
2.6,Problem-Solving Basics for One-Dimensional Kinematics,69,947
2.7,Falling Objects,71,982
2.8,Graphical Analysis of One-Dimensional Motion,80,1090
3,Two-Dimensional Kinematics,99,1309
3.1,Kinematics in Two Dimensions: An Introduction,100,1313
3.2,Vector Addition and Subtraction: Graphical Methods,102,1340
3.3,Vector Addition and Subtraction: Analytical Methods,111,1429
3.4,Projectile Motion,117,1525
3.5,Addition of Velocities,126,1645
4,Dynamics: Force and Newton's Laws of Motion,147,1882
4.1,Development of Force Concept,149,1896
4.2,Newton’s First Law of Motion: Inertia,150,1907
4.3,Newton’s Second Law of Motion: Concept of a System,151,1925
4.4,Newton’s Third Law of Motion: Symmetry in Forces,157,2015
4.5,"Normal, Tension, and Other Examples of Forces",161,2072
4.6,Problem-Solving Strategies,170,2186
4.7,Further Applications of Newton’s Laws of Motion,172,2203
4.8,Extended Topic: The Four Basic Forces—An Introduction,179,2329
5,"Further Applications of Newton's Laws: Friction, Drag, and Elasticity",197,2462
5.1,Friction,198,2469
5.2,Drag Forces,204,2545
5.3,Elasticity: Stress and Strain,209,2609
6,Uniform Circular Motion and Gravitation,227,2808
6.1,Rotation Angle and Angular Velocity,228,2814
6.2,Centripetal Acceleration,232,2869
6.3,Centripetal Force,235,2922
6.4,Fictitious Forces and Non-inertial Frames: The Coriolis Force,240,2995
6.5,Newton’s Universal Law of Gravitation,244,3014
6.6,Satellites and Kepler’s Laws: An Argument for Simplicity,252,3099
7,"Work, Energy, and Energy Resources",269,3267
7.1,Work: The Scientific Definition,270,3277
7.2,Kinetic Energy and the Work-Energy Theorem,273,3314
7.3,Gravitational Potential Energy,278,3413
7.4,Conservative Forces and Potential Energy,284,3485
7.5,Nonconservative Forces,288,3544
7.6,Conservation of Energy,293,3608
7.7,Power,297,3654
7.8,"Work, Energy, and Power in Humans",302,3710
7.9,World Energy Use,306,3739
8,Linear Momentum and Collisions,323,3906
8.1,Linear Momentum and Force,324,3914
8.2,Impulse,326,3980
8.3,Conservation of Momentum,329,4023
8.4,Elastic Collisions in One Dimension,333,4069
8.5,Inelastic Collisions in One Dimension,336,4119
8.6,Collisions of Point Masses in Two Dimensions,340,4186
8.7,Introduction to Rocket Propulsion,344,4254
9,Statics and Torque,357,4407
9.1,The First Condition for Equilibrium,358,4416
9.2,The Second Condition for Equilibrium,359,4434
9.3,Stability,364,4504
9.4,"Applications of Statics, Including Problem-Solving Strategies",368,4529
9.5,Simple Machines,372,4577
9.6,Forces and Torques in Muscles and Joints,376,4614
10,Rotational Motion and Angular Momentum,391,4769
10.1,Angular Acceleration,392,4776
10.2,Kinematics of Rotational Motion,397,4852
10.3,Dynamics of Rotational Motion: Rotational Inertia,402,4958
10.4,Rotational Kinetic Energy: Work and Energy Revisited,407,5020
10.5,Angular Momentum and Its Conservation,415,5150
10.6,Collisions of Extended Bodies in Two Dimensions,421,5272
10.7,Gyroscopic Effects: Vector Aspects of Angular Momentum,426,5337
11,Fluid Statics,439,5461
11.1,What Is a Fluid?,439,5464
11.2,Density,441,5483
11.3,Pressure,444,5518
11.4,Variation of Pressure with Depth in a Fluid,446,5554
11.5,Pascal’s Principle,450,5623
11.6,"Gauge Pressure, Absolute Pressure, and Pressure Measurement",453,5655
11.7,Archimedes’ Principle,457,5698
11.8,Cohesion and Adhesion in Liquids: Surface Tension and Capillary Action,464,5800
11.9,Pressures in the Body,473,5880
12,Fluid Dynamics and Its Biological and Medical Applications,489,6041
12.1,Flow Rate and Its Relation to Velocity,490,6047
12.2,Bernoulli’s Equation,493,6118
12.3,The Most General Applications of Bernoulli’s Equation,498,6186
12.4,Viscosity and Laminar Flow; Poiseuille’s Law,501,6241
12.5,The Onset of Turbulence,509,6319
12.6,Motion of an Object in a Viscous Fluid,511,6343
12.7,"Molecular Transport Phenomena: Diffusion, Osmosis, and Related Processes",513,6369
13,"Temperature, Kinetic Theory, and the Gas Laws",529,6514
13.1,Temperature,530,6521
13.2,Thermal Expansion of Solids and Liquids,537,6587
13.3,The Ideal Gas Law,544,6674
13.4,Kinetic Theory: Atomic and Molecular Explanation of Pressure and Temperature,551,6809
13.5,Phase Changes,559,6917
13.6,"Humidity, Evaporation, and Boiling",563,6962
14,Heat and Heat Transfer Methods,577,7110
14.1,Heat,577,7113
14.2,Temperature Change and Heat Capacity,579,7136
14.3,Phase Change and Latent Heat,585,7214
14.4,Heat Transfer Methods,592,7270
14.5,Conduction,593,7287
14.6,Convection,599,7352
14.7,Radiation,604,7405
15,Thermodynamics,623,7584
15.1,The First Law of Thermodynamics,624,7589
15.2,The First Law of Thermodynamics and Some Simple Processes,629,7647
15.3,Introduction to the Second Law of Thermodynamics: Heat Engines and Their Efficiency,637,7713
15.4,Carnot’s Perfect Heat Engine: The Second Law of Thermodynamics Restated,644,7779
15.5,Applications of Thermodynamics: Heat Pumps and Refrigerators,648,7815
15.6,Entropy and the Second Law of Thermodynamics: Disorder and the Unavailability of Energy,653,7869
15.7,Statistical Interpretation of Entropy and the Second Law of Thermodynamics: The Underlying Explanation,661,7991
16,Oscillatory Motion and Waves,677,8127
16.1,Hooke’s Law: Stress and Strain Revisited,678,8136
