chapter,section,page,json_idx
0,Highlights of Calculus,1,113
0.1,Distance and Speed = Height and Slope,1,114
0.2,The Changing Slope of $y = x ^ { 2 }$ and $y = x ^ { n }$,9,196
0.3,The Exponential $y = e ^ { x }$,15,266
0.4,Video Summaries and Practice Problems,23,382
0.5,Graphs and Graphing Calculators,45,556
1,Introduction to Calculus,51,625
1.1,Velocity and Distance,51,626
1.2,Calculus Without Limits,59,746
1.3,The Velocity at an Instant,67,899
1.4,Circular Motion,73,997
1.5,A Review of Trigonometry,80,1092
1.6,A Thousand Points of Light,85,1191
2,Derivatives,87,1216
2.1,The Derivative of a Function,87,1217
2.2,Powers and Polynomials,94,1336
2.3,The Slope and the Tangent Line,102,1479
2.4,The Derivative of the Sine and Cosine,109,1606
2.5,The Product and Quotient and Power Rules,116,1735
2.6,Limits,123,1852
2.7,Continuous Functions,131,1987
3,Applications of the Derivative,137,2078
3.1,Linear Approximation,138,2085
3.2,Maximum and Minimum Problems,143,2165
3.3,Second Derivatives: Bending and Acceleration,153,2331
3.4,Graphs,160,2440
3.5,"Parabolas, Ellipses, and Hyperbolas",170,2582
3.6,Iterations $x _ { n + 1 } = F ( x _ { n } )$,179,2730
3.7,Newton's Method (and Chaos),187,2855
3.8,The Mean Value Theorem and l'Hôpital's Rule,197,3004
4,Derivatives by the Chain Rule,204,3114
4.1,The Chain Rule,204,3115
4.2,Implicit Differentiation and Related Rates,211,3230
4.3,Inverse Functions and Their Derivatives,216,3328
4.4,Inverses of Trigonometric Functions,223,3451
5,Integrals,229,3542
5.1,The Idea of the Integral,229,3543
5.2,Antiderivatives,234,3617
5.3,Summation versus Integration,240,3707
5.4,Indefinite Integrals and Substitutions,249,3833
5.5,The Definite Integral,254,3916
5.6,Properties of the Integral and Average Value,260,4012
5.7,The Fundamental Theorem and Its Applications,267,4139
5.8,Numerical Integration,275,4264
6,Exponentials and Logarithms,283,4375
6.1,An Overview,284,4380
6.2,The Exponential $e ^ { x }$,292,4509
6.3,Growth and Decay in Science and Economics,299,4622
6.4,Logarithms,310,4824
6.5,Separable Equations Including the Logistic Equation,317,4946
6.6,Powers Instead of Exponentials,326,5092
6.7,Hyperbolic Functions,336,5277
7,Techniques of Integration,341,5355
7.1,Integration by Parts,342,5365
7.2,Trigonometric Integrals,348,5497
7.3,Trigonometric Substitutions,355,5629
7.4,Partial Fractions,362,5772
7.5,Improper Integrals,367,5855
8,Applications of the Integral,372,5928
8.1,Areas and Volumes by Slices,373,5932
8.2,Length of a Plane Curve,383,6089
8.3,Area of a Surface of Revolution,388,6175
8.4,Probability and Calculus,391,6228
8.5,Masses and Moments,399,6373
8.6,"Force, Work, and Energy",406,6496
9,Polar Coordinates and Complex Numbers,412,6594
9.1,Polar Coordinates,412,6595
9.2,Polar Equations and Graphs,416,6659
9.3,"Slope, Length, and Area for Polar Curves",421,6741
9.4,Complex Numbers,425,6827
10,Infinite Series,431,6936
10.1,The Geometric Series,433,6963
10.2,Convergence Tests: Positive Series,440,7086
10.3,Convergence Tests: All Series,448,7225
10.4,"The Taylor Series for $e ^ { x }$ , sin $x$ , and cos $x$",452,7301
10.5,Power Series,458,7406
11,Vectors and Matrices,464,7507
11.1,Vectors and Dot Products,466,7522
11.2,Planes and Projections,476,7665
11.3,Cross Products and Determinants,486,7816
11.4,Matrices and Linear Equations,496,7986
11.5,Linear Algebra,507,8152
12,Motion Along a Curve,517,8311
12.1,The Position Vector,517,8312
12.2,Plane Motion: Projectiles and Cycloids,525,8465
12.3,Curvature and Normal Vector,531,8572
12.4,Polar Coordinates and Planetary Motion,537,8674
13,Partial Derivatives,544,8792
13.1,Surfaces and Level Curves,545,8800
13.2,Partial Derivatives,549,8860
13.3,Tangent Planes and Linear Approximations,554,8945
13.4,Directional Derivatives and Gradients,565,9104
13.5,The Chain Rule,574,9249
13.6,"Maxima, Minima, and Saddle Points",582,9395
13.7,Constraints and Lagrange Multipliers,592,9556
14,Multiple Integrals,598,9652
14.1,Double Integrals,599,9661
14.2,Change to Better Coordinates,607,9780
14.3,Triple Integrals,616,9912
14.4,Cylindrical and Spherical Coordinates,622,9992
15,Vector Calculus,629,10090
15.1,Vector Fields,631,10113
15.2,Line Integrals,637,10202
15.3,Green's Theorem,646,10342
15.4,Surface Integrals,657,10498
15.5,The Divergence Theorem,667,10635
15.6,Stokes' Theorem and the Curl of F,674,10753
16,Mathematics after Calculus,681,10879
